id,section,word,correctAnswer,wrong1,wrong2,wrong3,points,explanation
1,1,history,歴史,しみ,橋,割合,1,Section 1 vocabulary
2,1,tie,結びつける,節目,比率,和らげる,1,Section 1 vocabulary
3,1,unite,一体にする,反対の,群衆,祝福,1,Section 1 vocabulary
4,1,culture,文化,革新,納得させる,予備の/空いている,1,Section 1 vocabulary
5,1,plant,植物,支持者,驚くべきことに,期待する,1,Section 1 vocabulary
6,1,unique,特有の,独占,増加する,即時の,1,Section 1 vocabulary
7,1,characteristic,特徴,混合の,輸入する,強化する,1,Section 1 vocabulary
8,1,matter,問題・物質,出口,災害,莫大な,1,Section 1 vocabulary
9,1,taste,味,主催する,不祥事,記憶,1,Section 1 vocabulary
10,1,table,表,変化,健康な,橋,1,Section 1 vocabulary
11,1,cause,原因・引き起こす,立つ,循環,蒸気,1,Section 1 vocabulary
12,1,account,説明・口座,予備の/空いている,橋,指定,1,Section 1 vocabulary
13,1,fact,事実,焦点を合わせる,投げる,文学の,1,Section 1 vocabulary
14,1,treat,扱う・治療する,マスメディア,時間枠,（外国からの）移住/入国,1,Section 1 vocabulary
15,2,raise,上げる・育てる,調整,悲しみ,かなり,1,Section 2 vocabulary
16,2,female,雌の・女性の,統計値,締め切り,不可欠な,1,Section 2 vocabulary
17,2,birth,誕生,およそ,同意,非難する,1,Section 2 vocabulary
18,2,generate,生み出す,先端,疑いなく,日常的に,1,Section 2 vocabulary
19,2,while,〜する間に,委員会,比較,去る・残す,1,Section 2 vocabulary
20,2,meantime,その間,視点,免許,詳細,1,Section 2 vocabulary
21,2,leave,去る・残す,分子,専門家,誓う,1,Section 2 vocabulary
22,2,hunt,狩る,経済学,休む・残り,一貫した,1,Section 2 vocabulary
23,2,instead,その代わりに,間違いなく,効果的な,知人,1,Section 2 vocabulary
24,2,guard,守る,歩き回る,データ,急上昇する,1,Section 2 vocabulary
25,2,secure,安全な・確保する,領主,候補者,性,1,Section 2 vocabulary
26,2,offend,怒らせる,エンジン,影響を与える,投げる,1,Section 2 vocabulary
27,3,role,役割,〜によれば,証拠,現代の,1,Section 3 vocabulary
28,3,healthy,健康な,要求する,味,認知症,1,Section 3 vocabulary
29,3,healthcare,医療,不可欠の,密接に,偶然の一致,1,Section 3 vocabulary
30,3,mammal,哺乳類,建造物/構造,マッサージ,義務,1,Section 3 vocabulary
31,3,produce,生産する,要求する,守る,成し遂げる,1,Section 3 vocabulary
32,3,harvest,収穫する,細胞,臓器,嫌がらせ,1,Section 3 vocabulary
33,3,liver,肝臓,内部,一晩中,排出,1,Section 3 vocabulary
34,3,never,決して〜ない,反対の,同意,その後,1,Section 3 vocabulary
35,3,none,何もない,移行,試験,思い出す,1,Section 3 vocabulary
36,3,nor,〜もまたない,原始的な,組織する,材料,1,Section 3 vocabulary
37,3,elsewhere,他の場所で,採用する,選ぶ,手段,1,Section 3 vocabulary
38,3,suffer,苦しむ,だます,泥,天井,1,Section 3 vocabulary
39,3,struggle,苦闘する,宿屋,調整,価値のある,1,Section 3 vocabulary
40,3,victim,犠牲者,終わり,細胞,元気づける,1,Section 3 vocabulary
41,3,toll,犠牲・通行料,まったく,通勤する,バレエ,1,Section 3 vocabulary
42,3,sacrifice,犠牲,衣服,無視する,データ,1,Section 3 vocabulary
43,4,western,西洋の,それにもかかわらず,知的な,信仰/信頼,1,Section 4 vocabulary
44,4,clothes,衣服,植民地,怒らせる,〜する間に,1,Section 4 vocabulary
45,4,convenient,便利な,哺乳類,返事をする,芸術家,1,Section 4 vocabulary
46,4,helpful,役に立つ,言及する,揺れる,上げる・育てる,1,Section 4 vocabulary
47,4,majority,大多数,頼る,認める,宿泊施設,1,Section 4 vocabulary
48,4,though,〜だけれども,避ける,案内する/案内人,暗黙の,1,Section 4 vocabulary
49,4,discrimination,差別,幻想,熱愛する,においがする,1,Section 4 vocabulary
50,4,past,過去の,労働,精神的な,退ける,1,Section 4 vocabulary
51,4,previous,前の,証明する,本質的に,適応する,1,Section 4 vocabulary
52,4,quite,かなり,専門知識,想像する,寄付する,1,Section 4 vocabulary
53,4,expensive,高価な,快適さ/慰める,前向きな,患者/忍耐強い,1,Section 4 vocabulary
54,4,afford,余裕がある,信じる,高さ,不祥事,1,Section 4 vocabulary
55,4,wealthy,裕福な,逮捕する,妨げる,一晩中,1,Section 4 vocabulary
56,4,servant,召使い,電極,航海する,追加,1,Section 4 vocabulary
57,5,drug,薬・麻薬,才能,共感,真実,1,Section 5 vocabulary
58,5,means,手段,前方へ/促進する,保険,マッサージ,1,Section 5 vocabulary
59,5,body,体,合計,祖先,円,1,Section 5 vocabulary
60,5,definition,定義,生命の/重要な,犠牲者,価値がある,1,Section 5 vocabulary
61,5,clearly,明らかに,現在の,パジャマ,手頃な価格の,1,Section 5 vocabulary
62,5,separate,分ける,修正する,反抗する,出席する,1,Section 5 vocabulary
63,5,poison,毒,直接に,眉,端,1,Section 5 vocabulary
64,5,carefully,注意深く,委員会,修理する,強いる,1,Section 5 vocabulary
65,5,control,管理する,〜もまたない,相互作用,組織する,1,Section 5 vocabulary
66,5,alcohol,アルコール,旅,視力/光景,割合,1,Section 5 vocabulary
67,5,instance,例,相互作用,免疫のある,王国,1,Section 5 vocabulary
68,5,ending,終わり,怠る,遊ぶ,無意味なこと,1,Section 5 vocabulary
69,6,effective,効果的な,能力,地域,確かに,1,Section 6 vocabulary
70,6,efficient,効率的な,取って代わる,根,人口,1,Section 6 vocabulary
71,6,mask,隠す・仮面,移行,標準化する,証拠,1,Section 6 vocabulary
72,6,claim,主張する,粒子,中心的な,開催する・持つ,1,Section 6 vocabulary
73,6,demand,要求する,革,隠れる/隠す,放射線,1,Section 6 vocabulary
74,6,supply,供給する,悲しみ,集まり,疲れ果てた,1,Section 6 vocabulary
75,6,false,誤った,知人,想像上の,興奮させる,1,Section 6 vocabulary
76,6,fault,欠点・責任,働きすぎ,田舎,信仰/信頼,1,Section 6 vocabulary
77,6,surround,囲む,男性,採用する,偶然の一致,1,Section 6 vocabulary
78,6,tighten,きつく締める,燃料,関係,含む,1,Section 6 vocabulary
79,6,cheek,頬,職業,深い,主要な,1,Section 6 vocabulary
80,6,pull,引く,才能,性別,象徴的な,1,Section 6 vocabulary
81,6,upward,上向きに,去る・残す,肥満,解決する,1,Section 6 vocabulary
82,6,eyebrow,眉,予約する,指定,状態,1,Section 6 vocabulary
83,6,slightly,わずかに,親密な,硬直した,議論する/討論,1,Section 6 vocabulary
84,6,prove,証明する,行動,痛い,反対する,1,Section 6 vocabulary
85,7,gene,遺伝子,主題,召使い,大気,1,Section 7 vocabulary
86,7,basic,基本的な,脅威,引っかける,割合,1,Section 7 vocabulary
87,7,cell,細胞,薬・麻薬,順序,印象,1,Section 7 vocabulary
88,7,pass,通過する,裁判官,言語の,有権者,1,Section 7 vocabulary
89,7,behavior,行動,更新する,関係,硬直した,1,Section 7 vocabulary
90,7,experiment,実験,出来事,分類する,住む,1,Section 7 vocabulary
91,7,end,終わり,解決する,完成させる,喜劇,1,Section 7 vocabulary
92,7,basis,基礎,体,促す,中世の,1,Section 7 vocabulary
93,7,premise,前提,芸術家,故意に,創造的な,1,Section 7 vocabulary
94,7,action,行動,感情,採用する,共通の,1,Section 7 vocabulary
95,7,like,好む・〜のような,偶然に,遊ぶ,蓄積する,1,Section 7 vocabulary
96,7,dislike,嫌う,避難所,不可欠な,大気,1,Section 7 vocabulary
97,7,researcher,研究者,探検,文化,機会,1,Section 7 vocabulary
98,7,research,研究,いくぶん,身体の,罰,1,Section 7 vocabulary
99,7,survey,調査,輸出する,普通の,その間,1,Section 7 vocabulary
100,7,variation,変化・差異,専門知識,歩き回る,疲れ果てた,1,Section 7 vocabulary
101,7,vary,異なる,燃料,追求する,現代の,1,Section 7 vocabulary
102,7,differ,異なる,移す,示す,説得する,1,Section 7 vocabulary
103,7,particular,特定の,湿った,監督する,思い出す,1,Section 7 vocabulary
104,7,partly,部分的に,達成,物語,政治の,1,Section 7 vocabulary
105,7,partial,部分的な,修正する,描写する,移る,1,Section 7 vocabulary
106,7,suggest,提案する・示唆する,症状,危険,戻る,1,Section 7 vocabulary
107,7,explain,説明する,納得させる,必死の,雇用,1,Section 7 vocabulary
108,7,narrative,物語,挿入する,最初の,立つ,1,Section 7 vocabulary
109,7,influence,影響,領主,恐れて,基盤,1,Section 7 vocabulary
110,8,gender,性別,宣教師,まもなく,運動,1,Section 8 vocabulary
111,8,sex,性,立つ,側面,原因,1,Section 8 vocabulary
112,8,bias,偏見,娯楽,苦しむ,野菜,1,Section 8 vocabulary
113,8,prejudice,偏見,回転/革命,所属している,主要な,1,Section 8 vocabulary
114,8,stereotype,固定観念,元気づける,予約する,働きすぎ,1,Section 8 vocabulary
115,8,deeply,深く,考古学者,情熱,不安な,1,Section 8 vocabulary
116,8,shallow,浅い,航行する,強調する,誤った,1,Section 8 vocabulary
117,8,root,根,認める,移動する,罰する,1,Section 8 vocabulary
118,8,stem,茎・由来する,資金,出席する,反応する,1,Section 8 vocabulary
119,8,professional,専門的な,心配・関係する,終わりのない,輸出する,1,Section 8 vocabulary
120,8,occupation,職業,勝利,経済的な,臓器,1,Section 8 vocabulary
121,8,occupy,占める,大きく口を開ける,感染させる,残酷な,1,Section 8 vocabulary
122,8,similar,似ている,個人の/個人,時代,熱望して,1,Section 8 vocabulary
123,8,alike,似ている,役割,変更,孤立した,1,Section 8 vocabulary
124,8,resemble,似ている,大気,情熱,維持する/主張する,1,Section 8 vocabulary
125,8,decade,10年間,ささいな,設立する,直面する,1,Section 8 vocabulary
126,8,perception,認識,覚えている,教育の,男性,1,Section 8 vocabulary
127,8,recognize,認識する,粒子,怒らせる,挿絵,1,Section 8 vocabulary
128,8,ballet,バレエ,中心部,驚くべきことに,地球規模の,1,Section 8 vocabulary
129,8,invite,招待する,臓器,減らす,不思議に思う,1,Section 8 vocabulary
130,8,occasion,機会,疑わしい,復活させる,通貨,1,Section 8 vocabulary
131,8,challenge,課題・挑戦,水準,驚くべきことに,最新の/最も遅く,1,Section 8 vocabulary
132,8,dare,あえて〜する,半球,思い出させる,叫ぶ,1,Section 8 vocabulary
133,8,hold,開催する・持つ,不安な,中心部,重大な,1,Section 8 vocabulary
134,9,reserve,予約する,残業,歓迎会,終わり,1,Section 9 vocabulary
135,9,cancel,取り消す,かなり,粘土,即時の,1,Section 9 vocabulary
136,9,excite,興奮させる,統計,指針,取り消す,1,Section 9 vocabulary
137,9,astonish,驚かせる,文学の,変える,円,1,Section 9 vocabulary
138,9,rather,むしろ・かなり,磨き上げる,実際には,疑わしい,1,Section 9 vocabulary
139,9,somewhat,いくぶん,理論,堅い,整える,1,Section 9 vocabulary
140,9,slim,細い,過程,薄い・細い,割合,1,Section 9 vocabulary
141,9,lean,傾く,愛らしい,汗/汗をかく,本物の,1,Section 9 vocabulary
142,9,thin,薄い・細い,所属している,取り除く,移す,1,Section 9 vocabulary
143,9,courageous,勇敢な,側面,記憶,分別のある,1,Section 9 vocabulary
144,9,bold,大胆な,称賛する,免疫のある,残酷な,1,Section 9 vocabulary
