id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation,source
W4-001,Writing Chapter 4,What should L2 composition teachers recognize about the boundary between reading and writing?,The boundary is permeable and should inform writing instruction.,Reading and writing should be taught as unrelated skills.,Writing instruction should avoid reading tasks.,Reading only matters after writing is completed.,1,"Source: Writing Chapter 4, p. 144. The chapter encourages teachers to embrace permeable boundaries between reading and writing in designing instruction.","Writing Chapter 4, p. 144"
W4-002,Writing Chapter 4,How do reading-writing relationships develop as learners gain more sophisticated literacy skills?,They evolve synergistically and multidimensionally.,They remain fixed across proficiency levels.,They disappear once grammar is learned.,They depend only on vocabulary tests.,1,"Source: Writing Chapter 4, p. 144. Reading-writing relationships are described as multidimensional and as developing together.","Writing Chapter 4, p. 144"
W4-003,Writing Chapter 4,Which learners may benefit from extensive and intensive reading with abundant practice in writing for fluency?,Low-proficiency secondary and pre-college learners with limited L2 academic literacy skills.,Only advanced doctoral writers.,Learners who already know all target genres.,Learners who do not need input.,1,"Source: Writing Chapter 4, p. 144. The page contrasts learner needs and suggests different balances of reading and writing activities.","Writing Chapter 4, p. 144"
W4-004,Writing Chapter 4,"For advanced university students, which instructional focus may be especially useful?","Intensive discipline-specific reading, guided genre practice, and accuracy-oriented instruction.",Only free conversation without reading.,Only memorization of isolated vocabulary.,Only timed grammar drills unrelated to writing.,1,"Source: Writing Chapter 4, p. 144. Advanced learners may need discipline-specific input and practice reproducing key genres accurately.","Writing Chapter 4, p. 144"
W4-005,Writing Chapter 4,What shared premise underlies non-directional and bidirectional reading-writing models?,Composing skill develops largely through reading and dynamic interaction with written language.,Composing develops without meaningful input.,Reading is useful only for pronunciation.,Writing proficiency is independent of literacy experience.,1,"Source: Writing Chapter 4, p. 144. The chapter states that reading builds knowledge of forms, patterns, and purposes of written language.","Writing Chapter 4, p. 144"
W4-006,Writing Chapter 4,What does Zamel’s idea of “writing our way into reading” suggest?,Writing can help readers re-examine texts and question their understanding.,Writing should be done only after complete comprehension.,Reading should never influence composing.,Text interpretation is fixed before writing begins.,1,"Source: Writing Chapter 4, p. 144. Zamel supports a transactional relationship between reading and writing.","Writing Chapter 4, p. 144"
W4-007,Writing Chapter 4,What does it mean to “read like writers and write like readers”?,Learners attend to texts both as readers making meaning and as writers noticing choices.,Learners ignore audience and genre.,Learners read only to memorize facts.,Learners write without considering readers.,1,"Source: Writing Chapter 4, p. 144. Apprentice writers benefit from reading-based writing tasks.","Writing Chapter 4, p. 144"
W4-008,Writing Chapter 4,What do effective writers consider before and during composing?,How real and imagined readers may understand and interpret the text.,Only the number of words in the final product.,Only the teacher’s grammar checklist.,Only spelling of isolated words.,1,"Source: Writing Chapter 4, p. 144. The page notes that writers envision their audience throughout the writing process.","Writing Chapter 4, p. 144"
W4-009,Writing Chapter 4,What is a read-to-write activity?,A literacy event in which texts are used as source material for writing.,A task that forbids students from using sources.,A pronunciation task with no written output.,A task for memorizing vocabulary lists only.,1,"Source: Writing Chapter 4, p. 146. Reading-to-write means drawing from texts before, during, or after reading to produce writing.","Writing Chapter 4, p. 146"
W4-010,Writing Chapter 4,Which assignment is a typical read-to-write task?,A summary or synthesis based on source texts.,A silent pronunciation drill.,A multiple-choice vocabulary test with no writing.,A listening-only dictation task.,1,"Source: Writing Chapter 4, p. 146. The page lists summaries, syntheses, book reviews, literature reviews, and bibliographic essays.","Writing Chapter 4, p. 146"
W4-011,Writing Chapter 4,"In reading-to-write, what role can model texts play?",They help learners analyze and reproduce high-quality genre features.,They should be copied without analysis.,They are unrelated to genre awareness.,They replace the need to write.,1,"Source: Writing Chapter 4, p. 146. Teachers may ask students to analyze professional and student models.","Writing Chapter 4, p. 146"
