id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
SNS-P01-V01,SNS and Personality,"As used in the passage, the word “exponentially” most nearly means:",very rapidly,slowly and steadily,unpredictably,temporarily,1,“Exponentially” refers to very rapid growth in the number of users.,Vocabulary,"[1] Facebook’s popularity has grown exponentially over recent years, from 5.5 million active users in 2005 to around 500 million active users in 2011. Facebook allows users to create a profile where they can post information about themselves ranging from their occupation, to their religious and political views to their favorite movies and musicians. Further, Facebook also offers the facility to send private and public messages to other users and even engage in real time instant messaging. All of these features make Facebook broadly popular for online socializing."
SNS-P01-F01,SNS and Personality,"According to the passage, what can Facebook users do?",Create profiles and communicate with others in multiple ways,Only send private messages,Watch television programs online,Purchase products directly from other users,1,"The passage lists profile creation, posting information, messaging, and instant messaging.",Fact,"[1] Facebook’s popularity has grown exponentially over recent years, from 5.5 million active users in 2005 to around 500 million active users in 2011. Facebook allows users to create a profile where they can post information about themselves ranging from their occupation, to their religious and political views to their favorite movies and musicians. Further, Facebook also offers the facility to send private and public messages to other users and even engage in real time instant messaging. All of these features make Facebook broadly popular for online socializing."
SNS-P01-I01,SNS and Personality,What can be reasonably inferred about Facebook’s popularity?,Its variety of communication features contributed to its rapid growth,It became popular mainly because of one specific feature,It is primarily used for business purposes,Its user base remained stable after 2005,1,The final sentence connects Facebook’s many features to its broad popularity for online socializing.,Inference,"[1] Facebook’s popularity has grown exponentially over recent years, from 5.5 million active users in 2005 to around 500 million active users in 2011. Facebook allows users to create a profile where they can post information about themselves ranging from their occupation, to their religious and political views to their favorite movies and musicians. Further, Facebook also offers the facility to send private and public messages to other users and even engage in real time instant messaging. All of these features make Facebook broadly popular for online socializing."
SNS-P01-S01,SNS and Personality,Facebook experienced extremely rapid ___ in its user base between 2005 and 2011.,growth,decline,competition,regulation,1,The paragraph states that Facebook’s active users increased from 5.5 million to around 500 million.,Summary Cloze,"[1] Facebook’s popularity has grown exponentially over recent years, from 5.5 million active users in 2005 to around 500 million active users in 2011. Facebook allows users to create a profile where they can post information about themselves ranging from their occupation, to their religious and political views to their favorite movies and musicians. Further, Facebook also offers the facility to send private and public messages to other users and even engage in real time instant messaging. All of these features make Facebook broadly popular for online socializing."
SNS-P01-S02,SNS and Personality,The platform allows users to create personal profiles and share various kinds of ___ about themselves.,information,restrictions,advertisements,products,1,"The passage says users can post information about themselves, including occupation and views.",Summary Cloze,"[1] Facebook’s popularity has grown exponentially over recent years, from 5.5 million active users in 2005 to around 500 million active users in 2011. Facebook allows users to create a profile where they can post information about themselves ranging from their occupation, to their religious and political views to their favorite movies and musicians. Further, Facebook also offers the facility to send private and public messages to other users and even engage in real time instant messaging. All of these features make Facebook broadly popular for online socializing."
SNS-P01-S03,SNS and Personality,These functions have contributed to Facebook’s popularity as a platform for online ___.,socializing,education,business,gaming,1,The paragraph concludes that these features make Facebook popular for online socializing.,Summary Cloze,"[1] Facebook’s popularity has grown exponentially over recent years, from 5.5 million active users in 2005 to around 500 million active users in 2011. Facebook allows users to create a profile where they can post information about themselves ranging from their occupation, to their religious and political views to their favorite movies and musicians. Further, Facebook also offers the facility to send private and public messages to other users and even engage in real time instant messaging. All of these features make Facebook broadly popular for online socializing."
SNS-P02-V01,SNS and Personality,"As used in the passage, the word “mutual” most nearly means:",shared by both sides,private,competitive,temporary,1,“Mutual” describes interaction shared between people or groups.,Vocabulary,"[2] Although Facebook is the largest social networking service (SNS), there are others. The newest and perhaps most interesting SNS is Twitter, as its focus seems to be on the sharing of opinion and information rather than on mutual social interaction. Twitter allows users to update their account with short statements named “tweets” limited to 140 characters. Other users are able to “follow” these updates. The service is rapidly growing with recent statistics suggesting that in January 2010 alone Twitter attracted 73.5 million unique viewers, and from 2009-2010 it demonstrated an annual membership growth rate of 1,105%."
SNS-P02-F01,SNS and Personality,"According to the passage, how does Twitter differ from Facebook?",It focuses more on sharing opinions and information,It allows users to create detailed personal profiles,It limits users from following others,It is smaller because it has no messaging functions,1,The passage says Twitter focuses on sharing opinion and information rather than mutual social interaction.,Fact,"[2] Although Facebook is the largest social networking service (SNS), there are others. The newest and perhaps most interesting SNS is Twitter, as its focus seems to be on the sharing of opinion and information rather than on mutual social interaction. Twitter allows users to update their account with short statements named “tweets” limited to 140 characters. Other users are able to “follow” these updates. The service is rapidly growing with recent statistics suggesting that in January 2010 alone Twitter attracted 73.5 million unique viewers, and from 2009-2010 it demonstrated an annual membership growth rate of 1,105%."
SNS-P02-I01,SNS and Personality,What can be reasonably inferred about Twitter’s growth?,Its rapid growth suggests strong public interest,It expanded slowly over time,It was unpopular compared to other SNS platforms,Its user numbers declined after 2010,1,The passage gives statistics showing rapid growth and a high annual membership growth rate.,Inference,"[2] Although Facebook is the largest social networking service (SNS), there are others. The newest and perhaps most interesting SNS is Twitter, as its focus seems to be on the sharing of opinion and information rather than on mutual social interaction. Twitter allows users to update their account with short statements named “tweets” limited to 140 characters. Other users are able to “follow” these updates. The service is rapidly growing with recent statistics suggesting that in January 2010 alone Twitter attracted 73.5 million unique viewers, and from 2009-2010 it demonstrated an annual membership growth rate of 1,105%."
SNS-P02-S01,SNS and Personality,Twitter mainly encourages the sharing of ___ and information.,opinions,entertainment,advertisements,friendships,1,The paragraph directly states that Twitter focuses on the sharing of opinion and information.,Summary Cloze,"[2] Although Facebook is the largest social networking service (SNS), there are others. The newest and perhaps most interesting SNS is Twitter, as its focus seems to be on the sharing of opinion and information rather than on mutual social interaction. Twitter allows users to update their account with short statements named “tweets” limited to 140 characters. Other users are able to “follow” these updates. The service is rapidly growing with recent statistics suggesting that in January 2010 alone Twitter attracted 73.5 million unique viewers, and from 2009-2010 it demonstrated an annual membership growth rate of 1,105%."
SNS-P02-S02,SNS and Personality,Users communicate through short messages called ___.,tweets,posts,chats,updates,1,Twitter’s short statements are named “tweets.”,Summary Cloze,"[2] Although Facebook is the largest social networking service (SNS), there are others. The newest and perhaps most interesting SNS is Twitter, as its focus seems to be on the sharing of opinion and information rather than on mutual social interaction. Twitter allows users to update their account with short statements named “tweets” limited to 140 characters. Other users are able to “follow” these updates. The service is rapidly growing with recent statistics suggesting that in January 2010 alone Twitter attracted 73.5 million unique viewers, and from 2009-2010 it demonstrated an annual membership growth rate of 1,105%."
SNS-P02-S03,SNS and Personality,The platform has experienced extremely rapid ___ in membership.,growth,decline,stability,competition,1,"The passage reports a 1,105% annual membership growth rate.",Summary Cloze,"[2] Although Facebook is the largest social networking service (SNS), there are others. The newest and perhaps most interesting SNS is Twitter, as its focus seems to be on the sharing of opinion and information rather than on mutual social interaction. Twitter allows users to update their account with short statements named “tweets” limited to 140 characters. Other users are able to “follow” these updates. The service is rapidly growing with recent statistics suggesting that in January 2010 alone Twitter attracted 73.5 million unique viewers, and from 2009-2010 it demonstrated an annual membership growth rate of 1,105%."
SNS-P03-V01,SNS and Personality,"As used in the passage, the word “reinstate” most nearly means:",restore,remove permanently,limit,ignore,1,“Reinstate” means to bring something back or restore it.,Vocabulary,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-F01,SNS and Personality,"According to the passage, how is Twitter different from Facebook?",Twitter allows greater anonymity for users,Twitter requires users to share detailed personal information,Twitter focuses more on identity than communication,Twitter prevents users from making friends online,1,The passage says Twitter offers the opportunity to reinstate anonymity.,Fact,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-I01,SNS and Personality,What can be reasonably inferred about anonymity on Twitter?,It may reduce social pressure on users,It completely eliminates online communication problems,It makes Twitter less popular than Facebook,It forces users to reveal more personal details,1,The passage states that anonymity may reduce social pressure.,Inference,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-S01,SNS and Personality,"Unlike Facebook, Twitter allows users to maintain greater ___ when communicating online.",anonymity,popularity,friendship,security,1,The passage emphasizes Twitter’s opportunity to reinstate anonymity.,Summary Cloze,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-S02,SNS and Personality,"Users are not required to share extensive personal information, which shifts attention from identity to personal ___.",opinions,appearance,background,wealth,1,The passage says Twitter focuses less on who users are and more on what they have to say.,Summary Cloze,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P03-S03,SNS and Personality,This reduced social pressure may lead people to use Twitter for different ___ than Facebook.,reasons,companies,features,audiences,1,The paragraph says reasons for using Twitter may differ from Facebook.,Summary Cloze,"[3] Twitter, unlike Facebook, offers the opportunity to reinstate some of the anonymity previously sought in online communication. Users do not need to post information about themselves to find “friends” and thus the site focuses less on who you are and more on what you have to say. The reduction of social pressure brought about by anonymity may mean that reasons for using Twitter differ from Facebook."
SNS-P04-V01,SNS and Personality,"As used in the passage, the word “predominantly” most nearly means:",mainly,rarely,equally,unexpectedly,1,“Predominantly” means mainly or for the most part.,Vocabulary,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-F01,SNS and Personality,"According to the passage, what limitation is mentioned about existing research?",Many studies rely on small student-based samples,There are too many studies on Twitter use,Most studies use large international samples,Researchers have stopped studying personality,1,"The passage notes that much research uses small, predominantly student samples.",Fact,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-I01,SNS and Personality,What can be reasonably inferred about current research on Twitter and personality?,It remains limited and requires further study,It is well established and widely confirmed,It proves Twitter changes personality,It focuses mainly on older adults,1,The passage states that there are currently no studies linking Twitter use to personality.,Inference,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
SNS-P04-S01,SNS and Personality,"Researchers have examined connections between personality and Facebook use, but studies on Twitter remain ___.",limited,extensive,complete,outdated,1,The paragraph says there are currently no studies linking Twitter use to personality.,Summary Cloze,"[4] There have been several studies that have researched links between personality and Facebook. However, there are currently no studies linking Twitter use to personality. It must be noted that much of the research concerning personality and the Internet has been conducted using small, predominantly student samples. Thus, caution must be advised when interpreting the results obtained from any individual study."
