id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation,source
C3-001,SLA Chapter 3,Which description best matches L2 phonology in Chapter 3?,Knowledge and use of pronunciation and perception in an L2,The study of paragraph organization only,A theory of classroom motivation,A method for scoring writing rubrics,1,"Source: SLA Chapter 3, pp. 67-68. The section treats L2 phonology as pronunciation and perception, linking listening and speaking to phonological categories.",SLA Chapter 3 pp.67-68
C3-002,SLA Chapter 3,Why can phonological difficulties be especially visible in L2 use?,Learners cannot always avoid producing particular sounds when speaking,Learners can always replace difficult sounds with easier grammar,Phonology has no connection with listening,Pronunciation errors never affect communication,1,"Source: SLA Chapter 3, pp. 67-68. The discussion contrasts phonological problems with syntactic avoidance; sounds often have to be produced in real time.",SLA Chapter 3 pp.67-68
C3-003,SLA Chapter 3,"In a Japanese learner’s pronunciation of “strike” with an extra vowel, which process is illustrated?",Epenthesis,Parameter resetting,Discourse grounding,Lexical priming,1,"Source: SLA Chapter 3, p. 67. Epenthesis refers to adding sounds, often because L1 phonological patterns influence L2 production.",SLA Chapter 3 pp.67-68
C3-004,SLA Chapter 3,What is the main role of the native language in many L2 pronunciation patterns?,It can shape how learners perceive and produce L2 sounds,It prevents all L2 phonological learning,It only affects written vocabulary,It makes all L2 sounds equally difficult,1,"Source: SLA Chapter 3, pp. 67-68. The chapter emphasizes that L1 influence can affect both perception and production in L2 phonology.",SLA Chapter 3 pp.67-68
C3-005,SLA Chapter 3,What sequence best represents the logic of the Speech Learning Model?,"Perception, category formation, and production","Motivation, testing, and grading","Reading, summarizing, and translating","Memorization, forgetting, and rereading",1,"Source: SLA Chapter 3, pp. 68-70. The SLM explains how perceived phonetic similarity affects category formation and later production.",SLA Chapter 3 pp.68-70
C3-006,SLA Chapter 3,"According to the Speech Learning Model, what happens when an L2 sound is perceived as very similar to an L1 sound?",Learners may assimilate it to an existing L1 category,Learners automatically create a new category,Learners stop using the sound entirely,Learners rely only on grammar rules,1,"Source: SLA Chapter 3, pp. 68-70. Similarity can make learners treat an L2 sound as if it belonged to an existing L1 category, which may block a new category.",SLA Chapter 3 pp.68-70
C3-007,SLA Chapter 3,Which example best fits the Speech Learning Model?,An English /r/ sound is difficult because it is mapped onto an existing L1 category,A learner chooses past tense because the event is completed,A learner uses a pronoun because the topic is already given,A learner memorizes a word list for a vocabulary quiz,1,"Source: SLA Chapter 3, pp. 68-70. SLM focuses on phonetic category formation, so examples should involve perception and production of sounds.",SLA Chapter 3 pp.68-70
C3-008,SLA Chapter 3,What does the SLM predict about learning a clearly new L2 sound?,It may be easier to form a new category if the sound is sufficiently different from L1 sounds,It is always impossible after childhood,It depends only on written spelling,It is unrelated to perception,1,"Source: SLA Chapter 3, pp. 68-70. When an L2 sound is clearly different, learners may notice it as a separate sound category.",SLA Chapter 3 pp.68-70
C3-009,SLA Chapter 3,What is the central concern of functional approaches to SLA?,How linguistic forms are used to express meaning and communicative functions,How language is completely independent from context,How teachers should assign grades,How learners memorize isolated definitions,1,"Source: SLA Chapter 3, p. 70. Functional approaches connect form, meaning, and communicative function rather than treating form alone as sufficient.",SLA Chapter 3 p.70
C3-010,SLA Chapter 3,Which statement best contrasts functional approaches with purely formal approaches?,Functional approaches ask what meanings learners are trying to express with forms,Functional approaches ignore meaning,Functional approaches study only phonetic categories,Functional approaches reject all learner data,1,"Source: SLA Chapter 3, p. 70. The functional perspective foregrounds learners’ attempts to map meanings onto linguistic forms.",SLA Chapter 3 p.70
C3-011,SLA Chapter 3,What does the Concept-Oriented Approach investigate?,How learners express a concept before and while acquiring target-like forms,How learners calculate percentile ranks,How learners avoid all communication,How learners memorize alphabet order,1,"Source: SLA Chapter 3, pp. 70-71. This approach starts from a concept such as time, reference, or motion and asks what linguistic means learners use to express it.",SLA Chapter 3 pp.70-71
C3-012,SLA Chapter 3,Which learner example fits a concept-oriented analysis of temporality?,A learner uses adverbs like “yesterday” before consistently using past-tense morphology,A learner answers a multiple-choice reading question,A learner repeats a pronunciation drill with no meaning,A learner chooses a textbook chapter title,1,"Source: SLA Chapter 3, pp. 70-71. Learners may express temporal concepts through lexical devices before fully controlling tense morphology.",SLA Chapter 3 pp.70-71
C3-013,SLA Chapter 3,What does the Aspect Hypothesis mainly claim?,Tense-aspect morphology is acquired in relation to the inherent lexical aspect of verbs,All verbs receive past tense at the same time,Learners never use progressive forms,Pronunciation categories determine tense choice,1,"Source: SLA Chapter 3, pp. 71-73. The hypothesis connects the spread of tense-aspect marking with verb semantics such as state, activity, accomplishment, and achievement.",SLA Chapter 3 pp.71-73
C3-014,SLA Chapter 3,Which verb type is typically associated with early use of progressive -ing?,Activities,States,Achievements only,Abstract nouns,1,"Source: SLA Chapter 3, pp. 71-73. Progressive marking is often associated with dynamic ongoing activities such as running or playing.",SLA Chapter 3 pp.71-73
C3-015,SLA Chapter 3,Which example most clearly expresses an ongoing activity?,A man is playing baseball,A man knows the answer,The door opened suddenly,The meeting ended at noon,1,"Source: SLA Chapter 3, pp. 71-73. An activity can be viewed as ongoing, making it a good context for progressive aspect.",SLA Chapter 3 pp.71-73
