id,section,word,correctAnswer,wrong1,wrong2,wrong3,points,explanation
1,001-050,あいなし,つまらない。気に入らない,将来。末端,一方。仲間,涙に濡れる,1,古文単語の意味を選ぶ問題
2,001-050,あかず,満足しない。物足りない,不思議だ。身分が低い。粗末だ,じっと見つめる,面倒だ。厄介だ,1,古文単語の意味を選ぶ問題
3,001-050,あからさまなり,ほんのちょっとの間である,ぼんやり見える,指図する。取り計らう,気の毒だ,1,古文単語の意味を選ぶ問題
4,001-050,あきらむ,明らかにする,迷う。ひどく慌てる,けなす,気にくわない。すばらしい,1,古文単語の意味を選ぶ問題
5,001-050,あく,満足する。飽きる,恐れ多い。すばらしい,すべて。万事,めったにない。すばらしい,1,古文単語の意味を選ぶ問題
6,001-050,あさまし,驚きあきれるほどだ。情けない,大人びている。思慮分別がある,効き目。はっきりしている,つまらない。どうにもならない,1,古文単語の意味を選ぶ問題
7,001-050,あした,朝。翌朝,美しい様子だ,まったく。決して,しんみりしている,1,古文単語の意味を選ぶ問題
8,001-050,あだなり,はかない。浮気だ,正しくない。ひねくれている,朝。翌朝,たいそう。非常に,1,古文単語の意味を選ぶ問題
9,001-050,あてなり,高貴だ。上品だ,おおげさだ。うるさい,すぐに。そのまま,身なりを整える,1,古文単語の意味を選ぶ問題
10,001-050,あながちなり,強引だ。ひたむきだ,不思議だ。身分が低い。粗末だ,幼い,何とも言えないほどすばらしい,1,古文単語の意味を選ぶ問題
11,001-050,あはれなり,しみじみと心に深く感じられる,足手まとい,ぞっとするほど寂しい,結婚する。男女が会う,1,古文単語の意味を選ぶ問題
12,001-050,あふ,結婚する。男女が会う,不快だ。気味が悪い,親しみやすい。心ひかれる,似合う。ふさわしい,1,古文単語の意味を選ぶ問題
13,001-050,あやし,不思議だ。身分が低い。粗末だ,大げさだ。恐ろしい,亡くなる。隠れる,気がゆるむ,1,古文単語の意味を選ぶ問題
14,001-050,あやにくなり,あいにくだ。意地悪だ,慣れ親しむ,いらっしゃる,どうしようもない,1,古文単語の意味を選ぶ問題
15,001-050,ありがたし,めったにない。すばらしい,身なりを整える,一面に広がる,早朝。翌朝,1,古文単語の意味を選ぶ問題
16,001-050,ありく,動き回る。出歩く,理由。由緒,ぞっとするほど寂しい,かわいらしさ,1,古文単語の意味を選ぶ問題
17,001-050,いかで,どうして。なんとかして,取り扱う。もてはやす,風情。理由。手段,よくない。みっともない,1,古文単語の意味を選ぶ問題
18,001-050,いぎたなし,寝坊である。眠り込んでいる,残念だ。つまらない,寵愛を受ける。栄える,つらい。情けない,1,古文単語の意味を選ぶ問題
19,001-050,いそぎ,準備,準備する,訪問する。弔問する,もっともだ。当然だ,1,古文単語の意味を選ぶ問題
20,001-050,いたし,たいそう。甚だしい,考える。だます,さあいらっしゃい,一方。仲間,1,古文単語の意味を選ぶ問題
21,001-050,いたづらなり,むだだ。何もない,都合が悪い。かわいそうだ,さあ,客をもてなす,1,古文単語の意味を選ぶ問題
