id,section,question,correctAnswer,choice1,choice2,choice3,points,explanation
ST-001,統計 Chapter 1：Population / Sample,population の説明として最も適切なものはどれですか。,研究者が結論を出したい観察の完全な集合,研究に参加した人だけの集合,平均点より高い人だけの集合,必ず全国民を意味する集合,1,King et al. Chapter 1では、populationは研究者が結論を導きたい観察の完全な集合として説明されています。
ST-002,統計 Chapter 1：Population / Sample,sample の説明として最も適切なものはどれですか。,population の一部,population と常に同じもの,研究者の意見そのもの,測定尺度の種類,1,sampleは母集団の一部であり、推測統計ではsampleからpopulationについて推定します。
ST-003,統計 Chapter 1：Statistic / Parameter,statistic と parameter の違いとして最も適切なものはどれですか。,statisticは標本の記述指標で、parameterは母集団の記述指標である,statisticは母集団の人数で、parameterは標本の人数である,どちらも必ずp値を意味する,どちらも質問紙の項目名である,1,statisticsでは、標本から得たstatisticを使って母集団のparameterを推定します。
ST-004,統計 Chapter 1：Inferential statistics,推測統計の中心的な目的として最も適切なものはどれですか。,標本統計量から母集団パラメータを推定すること,すべてのデータを必ず暗記すること,グラフを使わずに結果を示すこと,研究質問を統計ソフトに決めさせること,1,Chapter 1では、推測統計はsample statisticsからpopulation parametersを推定する営みとして扱われています。
ST-005,統計 Chapter 1：Random sampling,random sample の条件として最も適切なものはどれですか。,同じサイズのすべての可能な標本が等しい確率で選ばれること,研究者が選びやすい人を選ぶこと,得点が高い人だけを選ぶこと,参加希望者だけを必ず選ぶこと,1,random sampleでは、同サイズの各標本が等確率で選ばれる必要があります。
ST-006,統計 Chapter 1：Stratified random sample,stratified random sample の説明として最も適切なものはどれですか。,母集団の背景特徴を考慮して層を作り、各層から無作為抽出する,一つのクラスだけを便利に選ぶ,全員の得点を高い順に並べる,外れ値だけを取り出す,1,層化無作為標本は、学年・性別・地域など背景特徴を考慮して抽出する方法です。
ST-007,統計 Chapter 1：Applied statistics,応用統計の役割として資料に最も近い考えはどれですか。,統計は道具であり、それ自体が研究の始まりや終わりではない,統計が研究質問を自動的に決める,統計を使えばデータの一部だけ示してよい,統計は個人研究には使えない,1,Chapter 1では、統計はtoolであり、研究質問と研究結論のために使うものと整理されています。
ST-008,統計 Chapter 1：Measurement scales,教育・心理測定の尺度を扱う際の注意として適切なものはどれですか。,極端な得点の解釈や、尺度上の異なる位置での伸びの比較に注意する,すべての尺度には完全な絶対零点があるとみなす,どの尺度でも得点差は必ず同じ意味を持つ,尺度の性質は研究結論にまったく関係しない,1,資料では、教育・心理の測定では等間隔性や絶対零点に限界があるため、極端な値や得点の伸びの比較に注意が必要とされます。
ST-009,統計 Chapter 1：Statistics and conclusions,「統計は嘘をつくか」という論点に関して適切なものはどれですか。,誤った結論は、正直なミス・不正・一部データだけの提示などから生じうる,統計を使えば必ず正しい結論になる,統計では確率を扱わない,不正があっても統計結果は常に妥当である,1,資料では、確率に関する正直なミス、データ捏造、一部データだけの提示が問題として挙げられています。
ST-010,統計 Chapter 2：Frequency distribution,frequency distribution の説明として最も適切なものはどれですか。,各カテゴリーや値に対する観察数を示す表や分布,標本を無作為に選ぶ手順,研究仮説の正しさそのもの,p値だけをまとめた表,1,頻度分布は、データを理解するために各値やカテゴリーの観察数を整理する方法です。
