id,section,word,correctAnswer,choice2,choice3,choice4,points,explanation,questionType,passage
L11-P01-V01,Lesson 11,"As used in paragraph 1, the phrase “a Babel of tongues” most nearly means:",a place with many different languages,a city with only one official language,a religious building for immigrants,a school for language teachers,1,"The paragraph uses the phrase after describing people of many sects, nations, and languages in early New York.",Vocabulary,"[1] Half of all New Yorkers speak a language besides English at home, and many of the rest have non-English-speaking parents or grandparents. This linguistic diversity goes back a long way: as soon as the Dutch arrived, establishing more of a trading post than a colony, New York became a Babel of tongues. “On the island of Manhate [Manhattan], and in its environs,” reported the Jesuit Father Jogues in 1646, “there may well be four or five hundred men of different sects and nations: The Director General told me that there were men of eighteen different languages.” That number probably doesn’t include the varieties of Munsee spoken by New York’s native inhabitants; today Munsee lives on, but with just a few speakers left, the youngest in her seventies."
L11-P01-F01,Lesson 11,"According to paragraph 1, what is true of language use in New York today?",Half of all New Yorkers speak a language besides English at home.,Almost all New Yorkers speak only English at home.,Munsee is the most common language in Manhattan.,Dutch is still the main home language in New York.,1,The first sentence states that half of all New Yorkers speak a language besides English at home.,Factual,"[1] Half of all New Yorkers speak a language besides English at home, and many of the rest have non-English-speaking parents or grandparents. This linguistic diversity goes back a long way: as soon as the Dutch arrived, establishing more of a trading post than a colony, New York became a Babel of tongues. “On the island of Manhate [Manhattan], and in its environs,” reported the Jesuit Father Jogues in 1646, “there may well be four or five hundred men of different sects and nations: The Director General told me that there were men of eighteen different languages.” That number probably doesn’t include the varieties of Munsee spoken by New York’s native inhabitants; today Munsee lives on, but with just a few speakers left, the youngest in her seventies."
L11-P01-I01,Lesson 11,What can be reasonably inferred from paragraph 1?,New York’s linguistic diversity has deep historical roots.,New York became multilingual only after the 20th century.,Native languages were fully included in early European records.,Dutch settlers tried to eliminate all other languages immediately.,1,The paragraph connects present diversity with early Dutch-era reports of many languages.,Inference,"[1] Half of all New Yorkers speak a language besides English at home, and many of the rest have non-English-speaking parents or grandparents. This linguistic diversity goes back a long way: as soon as the Dutch arrived, establishing more of a trading post than a colony, New York became a Babel of tongues. “On the island of Manhate [Manhattan], and in its environs,” reported the Jesuit Father Jogues in 1646, “there may well be four or five hundred men of different sects and nations: The Director General told me that there were men of eighteen different languages.” That number probably doesn’t include the varieties of Munsee spoken by New York’s native inhabitants; today Munsee lives on, but with just a few speakers left, the youngest in her seventies."
L11-P01-S01,Lesson 11,"From the time the Dutch arrived, New York became a ___ of tongues.",Babel,library,capital,market,1,The paragraph explicitly describes early New York as a Babel of tongues.,Summary Cloze,"[1] Half of all New Yorkers speak a language besides English at home, and many of the rest have non-English-speaking parents or grandparents. This linguistic diversity goes back a long way: as soon as the Dutch arrived, establishing more of a trading post than a colony, New York became a Babel of tongues. “On the island of Manhate [Manhattan], and in its environs,” reported the Jesuit Father Jogues in 1646, “there may well be four or five hundred men of different sects and nations: The Director General told me that there were men of eighteen different languages.” That number probably doesn’t include the varieties of Munsee spoken by New York’s native inhabitants; today Munsee lives on, but with just a few speakers left, the youngest in her seventies."
L11-P01-S02,Lesson 11,Father Jogues reported that people of eighteen different ___ lived around Manhattan.,languages,jobs,schools,churches,1,The quotation says there were men of eighteen different languages.,Summary Cloze,"[1] Half of all New Yorkers speak a language besides English at home, and many of the rest have non-English-speaking parents or grandparents. This linguistic diversity goes back a long way: as soon as the Dutch arrived, establishing more of a trading post than a colony, New York became a Babel of tongues. “On the island of Manhate [Manhattan], and in its environs,” reported the Jesuit Father Jogues in 1646, “there may well be four or five hundred men of different sects and nations: The Director General told me that there were men of eighteen different languages.” That number probably doesn’t include the varieties of Munsee spoken by New York’s native inhabitants; today Munsee lives on, but with just a few speakers left, the youngest in her seventies."
L11-P01-S03,Lesson 11,"Munsee still exists today, but only with a few ___ left.",speakers,teachers,traders,colonies,1,"The paragraph says Munsee lives on, but with just a few speakers left.",Summary Cloze,"[1] Half of all New Yorkers speak a language besides English at home, and many of the rest have non-English-speaking parents or grandparents. This linguistic diversity goes back a long way: as soon as the Dutch arrived, establishing more of a trading post than a colony, New York became a Babel of tongues. “On the island of Manhate [Manhattan], and in its environs,” reported the Jesuit Father Jogues in 1646, “there may well be four or five hundred men of different sects and nations: The Director General told me that there were men of eighteen different languages.” That number probably doesn’t include the varieties of Munsee spoken by New York’s native inhabitants; today Munsee lives on, but with just a few speakers left, the youngest in her seventies."
L11-P02-V01,Lesson 11,"As used in paragraph 2, the phrase “melting pot” most nearly means:",a place where many different groups mix,a factory for making metal products,a port used only by sailors,a neighborhood without immigrants,1,"New York is described as containing Europeans and languages from many places, so “melting pot” means a place where groups mix.",Vocabulary,"[2] By the late 19th century, New York had become a melting pot of footloose Europeans ― Brooklyn was a Scandinavian port, Manhattan was a great Irish metropolis, and the entire city of New York was the third-largest German-speaking city in the world. Today New York houses languages large and small, famous and unknown, from every corner of the globe. The way Mexico sounded before Cortés, now in El Barrio; the languages of West Africa, arrayed along 116th Street; the languages of Luzon and Java alive on the Asian streets of Queens. All the big ones are here ― if a language has a million speakers worldwide, most likely one of those speakers lives in New York ― but so are many endangered and vanishing languages."
L11-P02-F01,Lesson 11,"According to paragraph 2, what was true of New York by the late 19th century?",It had become a city with many European immigrant communities.,It had lost most of its immigrant population.,It was mainly a French-speaking city.,It contained no Scandinavian or Irish communities.,1,"The paragraph describes Brooklyn as Scandinavian, Manhattan as Irish, and the city as heavily German-speaking.",Factual,"[2] By the late 19th century, New York had become a melting pot of footloose Europeans ― Brooklyn was a Scandinavian port, Manhattan was a great Irish metropolis, and the entire city of New York was the third-largest German-speaking city in the world. Today New York houses languages large and small, famous and unknown, from every corner of the globe. The way Mexico sounded before Cortés, now in El Barrio; the languages of West Africa, arrayed along 116th Street; the languages of Luzon and Java alive on the Asian streets of Queens. All the big ones are here ― if a language has a million speakers worldwide, most likely one of those speakers lives in New York ― but so are many endangered and vanishing languages."
L11-P02-I01,Lesson 11,What can be inferred from paragraph 2 about endangered languages in New York?,Some endangered languages are present because immigrants have brought languages from around the world.,Endangered languages are spoken only in museums.,New York contains only languages with more than a million speakers.,European languages have completely replaced all other languages in New York.,1,"The paragraph says New York houses languages large and small, including endangered and vanishing ones from every corner of the globe.",Inference,"[2] By the late 19th century, New York had become a melting pot of footloose Europeans ― Brooklyn was a Scandinavian port, Manhattan was a great Irish metropolis, and the entire city of New York was the third-largest German-speaking city in the world. Today New York houses languages large and small, famous and unknown, from every corner of the globe. The way Mexico sounded before Cortés, now in El Barrio; the languages of West Africa, arrayed along 116th Street; the languages of Luzon and Java alive on the Asian streets of Queens. All the big ones are here ― if a language has a million speakers worldwide, most likely one of those speakers lives in New York ― but so are many endangered and vanishing languages."
L11-P02-S01,Lesson 11,"By the late 19th century, New York had become a melting pot of ___ Europeans.",footloose,wealthy,isolated,monolingual,1,The paragraph uses the phrase “footloose Europeans.”,Summary Cloze,"[2] By the late 19th century, New York had become a melting pot of footloose Europeans ― Brooklyn was a Scandinavian port, Manhattan was a great Irish metropolis, and the entire city of New York was the third-largest German-speaking city in the world. Today New York houses languages large and small, famous and unknown, from every corner of the globe. The way Mexico sounded before Cortés, now in El Barrio; the languages of West Africa, arrayed along 116th Street; the languages of Luzon and Java alive on the Asian streets of Queens. All the big ones are here ― if a language has a million speakers worldwide, most likely one of those speakers lives in New York ― but so are many endangered and vanishing languages."
