id,section,question,focus,target_expressions,model_starter
1,Business,Some people think companies should allow employees to work from home at least three days a week. Do you agree or disagree with this opinion?,work from home / commuting costs,allow employees to work from home; reduce commuting costs; improve work-life balance,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
2,Education,Some people think all students should be required to wear school uniforms. Do you agree or disagree with this opinion?,uniforms / money,do not have to spend time choosing; save money on clothes; reduce financial burden,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
3,Education,Some people think schools should give students less homework. Do you agree or disagree with this opinion?,homework / workload,less homework; grade homework; reduce teachers’ workload; help students feel relaxed,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
4,Education,Some people think children should start learning English at an early age. Do you agree or disagree with this opinion?,early English / pronunciation,at an early age; English pronunciation; opportunities to be exposed to English,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
5,Business,Some people think companies should provide free lunch for their employees. Do you agree or disagree with this opinion?,free lunch / health,provide healthy meals; support employees’ health; benefit both employees and companies,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
6,Business,Some people think it is better to work in a team than to work alone. Do you agree or disagree with this opinion?,teamwork / mistakes,work in a team; learn from teammates; reduce the risk of making mistakes; increase productivity,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
7,Business,Some people think online meetings are better than face-to-face meetings. Do you agree or disagree with this opinion?,online meetings / efficiency,face-to-face meetings; share meeting materials; make meetings more efficient,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
8,Business,Some people think employees should be allowed to choose their own working hours. Do you agree or disagree with this opinion?,working hours / motivation,working hours; work-life balance; work when they are most productive; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
9,Business/AI,Some people think companies should use AI tools to improve their work. Do you agree or disagree with this opinion?,AI / workload,at any time and from anywhere; reduce mistakes; without increasing employees’ workload; improve work efficiency,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
10,Business,Some people think companies should give employees more vacation days. Do you agree or disagree with this opinion?,vacation / productivity,time to relax; refresh themselves; reduce stress; overall productivity will improve,"I agree/disagree with this opinion. There are two reasons. First,... For example,... Second,... For these reasons,..."
